athlete_id,age,weight,resting_hr,avg_hr,max_hr,hrv,vo2max,speed_avg,distance_km,duration_min,training_load,sleep_hours,fatigue_score,performance_score,injury_risk
52,29,70.8,60.0,166.3,181.8,53.1,47.7,12.88,6.32,29.4,49.0,6.3,1.3,62.3,0
93,31,82.4,63.0,141.4,164.5,46.7,48.4,10.27,7.46,43.6,61.6,7.1,0.9,58.1,0
15,32,60.1,67.0,150.7,162.6,75.2,42.5,7.22,9.48,78.8,118.7,6.0,0.8,49.8,1
72,33,58.3,60.0,164.3,186.1,52.0,53.9,12.69,7.09,33.5,55.1,8.6,0.0,67.0,0
61,39,71.3,65.0,142.7,159.6,63.2,41.1,11.7,4.63,23.8,33.9,8.4,0.0,59.8,0
21,39,70.4,73.0,149.3,165.6,72.5,41.3,10.87,7.84,43.3,64.6,6.5,0.2,57.8,0
83,37,71.4,63.0,149.8,162.5,58.9,50.2,13.53,5.3,23.5,35.2,8.8,0.0,67.1,0
87,18,72.0,62.0,160.2,177.9,56.7,57.6,11.91,7.19,36.2,58.0,7.0,0.5,66.0,0
75,27,68.2,48.0,158.9,184.3,67.3,45.9,9.36,12.03,77.1,122.5,9.6,0.0,57.1,1
75,25,81.9,39.0,146.7,166.6,76.2,52.2,8.14,7.19,53.0,77.8,7.1,0.0,57.2,1
88,35,57.2,63.0,151.0,174.1,53.3,54.4,9.74,13.31,82.0,123.8,7.6,0.4,60.5,1
100,18,63.4,59.0,144.4,172.7,63.5,52.9,16.79,12.29,43.9,63.5,8.4,0.0,74.7,0
24,19,69.2,56.0,127.8,149.2,47.7,46.1,13.45,6.26,27.9,35.7,8.3,0.0,65.3,0
3,18,56.9,62.0,153.9,171.1,61.1,41.5,12.38,4.67,22.6,34.8,7.5,0.0,61.3,0
22,18,68.6,60.0,178.4,200.7,65.3,34.8,11.64,7.84,40.4,72.1,6.9,0.2,56.7,0
53,26,83.3,69.0,136.7,154.0,56.5,46.4,11.51,11.46,59.8,81.7,7.5,0.1,61.4,1
2,30,70.2,61.0,138.4,155.9,60.4,55.1,14.33,6.53,27.3,37.8,6.2,1.0,68.7,0
88,18,71.8,54.0,136.9,149.3,50.9,41.3,11.02,10.72,58.4,80.0,7.2,0.7,57.1,1
30,30,59.9,68.0,160.9,185.5,65.8,52.2,13.15,11.63,53.0,85.3,5.9,1.2,64.7,1
38,37,65.1,58.0,156.7,174.8,75.6,42.3,11.3,5.68,30.1,47.2,5.2,1.2,57.0,0
2,39,67.0,64.0,147.6,168.5,54.0,48.6,15.88,5.97,22.6,33.3,7.1,0.4,70.4,0
64,24,67.5,56.0,136.2,151.0,58.8,52.2,13.48,10.14,45.1,61.5,8.3,0.0,67.9,0
60,19,80.3,55.0,151.4,173.6,70.0,44.0,14.49,8.46,35.0,53.0,7.9,0.0,66.6,0
21,23,74.5,61.0,126.5,142.7,77.1,49.0,10.83,5.94,32.9,41.6,6.9,0.0,61.3,0
33,24,61.1,60.0,152.2,171.4,50.1,45.5,14.12,6.94,29.5,44.9,8.7,0.0,66.4,0
76,31,72.0,64.0,163.1,187.5,63.3,52.2,11.37,7.79,41.1,67.0,6.4,0.7,62.2,0
58,35,74.0,58.0,131.2,155.2,67.8,49.4,12.22,3.31,16.2,21.3,5.1,1.6,60.9,0
22,32,79.1,45.0,127.0,146.9,64.0,48.3,15.27,10.3,40.5,51.4,4.8,2.2,65.4,0
89,19,82.6,57.0,173.7,184.9,40.2,57.4,9.91,6.56,39.7,69.0,5.8,2.5,57.7,0
49,27,61.9,66.0,140.8,175.8,70.0,52.0,12.41,-0.35,-1.7,-2.4,7.8,0.0,65.6,0
91,29,63.5,58.0,167.0,195.8,80.2,43.9,12.88,7.93,36.9,61.7,6.4,0.0,63.3,0
59,34,59.9,58.0,147.7,171.3,66.2,47.5,13.04,5.78,26.6,39.2,7.5,0.0,65.1,0
42,25,68.1,68.0,147.6,163.8,54.7,47.5,11.1,13.07,70.6,104.2,8.6,0.0,61.2,1
92,28,73.7,54.0,156.6,176.0,59.9,48.5,16.17,6.24,23.2,36.3,5.9,1.3,69.2,0
60,20,77.9,48.0,136.7,154.0,82.7,63.1,9.41,4.71,30.0,41.0,7.5,0.0,64.1,0
80,23,69.4,59.0,152.0,178.3,74.1,50.2,14.92,9.52,38.3,58.2,7.5,0.0,69.9,0
15,26,67.4,56.0,144.3,165.6,71.4,35.8,14.43,6.02,25.0,36.1,6.1,0.5,62.2,0
62,23,71.2,52.0,130.2,146.3,68.6,44.7,15.8,5.66,21.5,28.0,8.4,0.0,69.5,0
62,26,63.3,59.0,155.1,172.7,58.4,36.4,8.82,9.53,64.8,100.5,6.7,0.9,50.5,1
47,24,86.7,64.0,146.1,171.7,63.0,46.0,10.26,4.88,28.5,41.7,6.6,0.4,58.0,0
62,26,57.1,60.0,147.6,175.6,64.2,36.1,14.98,3.63,14.5,21.5,9.1,0.0,64.4,0
51,35,71.5,62.0,131.8,159.5,70.5,42.8,8.25,13.18,95.9,126.4,7.5,0.0,53.6,1
55,29,86.2,75.0,173.9,197.7,80.1,38.9,8.79,9.74,66.5,115.6,7.9,0.0,53.1,1
64,25,70.1,57.0,163.2,181.9,76.2,50.3,11.02,7.21,39.2,64.0,8.4,0.0,62.2,0
3,25,68.5,62.0,164.5,168.3,50.8,48.0,12.38,7.99,38.7,63.7,6.3,1.4,61.1,0
51,35,67.1,56.0,145.4,166.9,67.2,49.8,15.18,9.52,37.6,54.7,8.2,0.0,70.3,0
7,37,68.6,53.0,124.1,144.1,72.4,47.4,11.63,10.92,56.3,69.9,6.5,0.2,61.7,0
21,32,81.0,55.0,179.3,200.0,71.2,39.6,10.78,5.73,31.9,57.2,6.5,0.3,56.9,0
